100 2456
1 2 21
1 3 6
1 6 36
1 8 50
1 10 15
1 11 9
1 12 130
1 15 34
1 17 184
1 18 37
1 19 41
1 20 83
1 21 37
1 22 7
1 24 179
1 27 5
1 30 47
1 31 105
1 33 108
1 34 125
1 36 184
1 37 145
1 39 120
1 41 52
1 45 107
1 47 89
1 48 20
1 52 93
1 54 18
1 55 93
1 58 153
1 60 81
1 61 121
1 62 182
1 64 123
1 65 197
1 66 102
1 69 94
1 70 39
1 71 54
1 74 175
1 75 98
1 77 70
1 79 60
1 80 162
1 82 156
1 84 115
1 85 20
1 86 8
1 88 28
1 89 59
1 93 167
1 94 102
1 98 174
1 99 102
1 100 184
2 3 113
2 4 77
2 7 189
2 8 86
2 13 70
2 14 10
2 15 67
2 16 200
2 18 165
2 20 1
2 23 96
2 27 3
2 30 125
2 31 19
2 32 112
2 34 57
2 39 35
2 41 101
2 43 174
2 45 185
2 46 195
2 48 124
2 50 170
2 52 68
2 53 172
2 57 146
2 59 177
2 62 36
2 63 198
2 64 142
2 65 77
2 66 155
2 68 189
2 70 4
2 71 96
2 73 38
2 74 46
2 77 59
2 78 190
2 82 5
2 83 48
2 85 115
2 87 84
2 88 162
2 92 114
2 93 126
2 94 155
2 96 61
2 97 177
2 98 72
2 99 180
2 100 71
3 4 200
3 7 22
3 9 193
3 12 89
3 14 90
3 18 138
3 19 80
3 20 113
3 22 98
3 23 28
3 26 16
3 27 97
3 32 24
3 34 147
3 36 160
3 43 63
3 44 169
3 50 69
3 52 62
3 54 139
3 55 169
3 56 112
3 57 183
3 58 132
3 59 96
3 62 100
3 63 124
3 64 27
3 65 198
3 66 110
3 67 168
3 69 17
3 71 191
3 72 130
3 75 170
3 76 179
3 77 10
3 78 2
3 79 190
3 83 167
3 84 41
3 88 50
3 91 19
3 93 115
3 97 176
3 98 42
4 5 164
4 6 121
4 8 165
4 9 77
4 12 10
4 13 94
4 15 35
4 16 146
4 19 121
4 22 81
4 28 55
4 30 4
4 31 79
4 32 144
4 33 189
4 35 79
4 37 116
4 39 85
4 44 96
4 46 184
4 49 8
4 50 10
4 52 34
4 54 186
4 55 97
4 56 138
4 57 14
4 58 188
4 59 161
4 61 26
4 62 146
4 66 117
4 69 75
4 70 52
4 72 169
4 73 67
4 74 131
4 75 54
4 77 5
4 80 142
4 82 64
4 83 140
4 87 191
4 88 38
4 89 171
4 90 141
4 92 152
4 94 86
4 96 72
4 98 127
4 99 23
4 100 64
5 6 25
5 8 7
5 11 92
5 14 52
5 16 106
5 17 105
5 18 162
5 20 9
5 24 52
5 25 98
5 28 49
5 29 165
5 30 127
5 32 109
5 33 25
5 35 155
5 36 189
5 44 46
5 45 192
5 47 119
5 48 23
5 50 120
5 52 169
5 53 83
5 54 90
5 55 149
5 56 183
5 59 144
5 60 175
5 62 8
5 65 27
5 68 196
5 73 147
5 74 116
5 76 105
5 77 131
5 78 5
5 79 151
5 81 115
5 84 85
5 85 14
5 86 125
5 87 94
5 88 118
5 89 63
5 90 14
5 92 160
5 94 64
5 95 96
5 96 65
5 98 18
5 99 131
6 10 63
6 14 47
6 15 14
6 19 191
6 21 120
6 22 60
6 23 135
6 26 74
6 29 99
6 30 8
6 31 183
6 34 82
6 36 73
6 39 159
6 40 88
6 41 63
6 43 185
6 44 147
6 45 43
6 46 54
6 47 185
6 48 170
6 49 188
6 52 63
6 53 50
6 54 117
6 55 42
6 57 53
6 58 38
6 59 185
6 60 188
6 63 44
6 67 101
6 68 14
6 69 150
6 70 137
6 73 154
6 75 62
6 79 98
6 82 183
6 84 77
6 85 29
6 86 84
6 87 110
6 88 169
6 89 47
6 92 76
6 93 157
6 94 81
6 95 99
6 96 55
6 97 162
6 98 70
6 99 184
6 100 179
7 9 87
7 11 118
7 13 195
7 15 62
7 19 182
7 21 132
7 22 183
7 23 190
7 25 182
7 26 17
7 27 145
7 29 9
7 30 18
7 33 149
7 36 96
7 37 60
7 40 29
7 41 182
7 44 92
7 45 82
7 46 178
7 47 9
7 48 159
7 49 57
7 50 13
7 51 62
7 53 97
7 57 13
7 58 139
7 59 52
7 63 151
7 65 170
7 66 138
7 67 111
7 70 27
7 71 92
7 72 138
7 73 121
7 76 197
7 77 22
7 78 104
7 82 90
7 83 30
7 85 80
7 87 145
7 89 49
7 90 195
7 91 189
7 92 104
7 95 134
7 96 130
7 99 70
7 100 34
8 10 74
8 11 15
8 12 85
8 14 22
8 15 71
8 16 156
8 17 58
